4312104;5111;311.88;16.4;78899
4312138;2470;238.37;10.4;99027
4312153;3865;46.92;84.2;94682
4312179;1799;113.99;15.7;46336
4312203;4911;208.44;23.6;74645
4312252;7631;424.34;18.0;108611
4312302;4855;130.43;37.2;107899
4312351;1542;82.08;18.8;45010
4312377;3102;549.74;5.6;41315
4312385;2670;69.60;39.1;92564
4312401;59415;424.44;140.1;2177219
4312427;2749;146.11;18.8;75231
4312443;3182;165.51;19.2;44847
4312450;6227;244.65;25.5;71672
4312476;5676;87.83;64.8;117083
4312500;12124;1982.99;6.1;250911
4312609;4791;111.23;43.2;151568
4312617;2988;1197.93;2.5;307345
4312625;1813;111.13;16.3;40243
4312658;15936;361.67;44.1;937004
4312674;1721;155.82;11.0;71581
4312708;12074;468.91;25.8;261069
4312757;3182;148.94;21.3;99006
4312807;4001;74.70;53.8;128773
4312906;8840;211.61;41.8;632058
4312955;1960;94.24;20.8;55231
4313003;3184;102.82;31.0;68999
4313011;2751;97.83;28.1;90920
4313037;4671;191.00;24.5;116014
4313060;18346;62.56;293.3;568006
4313086;2450;103.24;23.7;46039
4313102;6342;313.89;20.2;154230
4313201;19045;291.30;65.4;498646
4313300;22830;258.87;88.2;747533
4313334;2437;254.76;9.6;82737
4313359;3343;149.05;22.4;85867
4313375;22716;217.87;104.3;748074
4313490;3978;123.58;32.2;66461
4313391;3855;192.29;20.1;65785
4313409;238940;223.82;1067.6;6161757
4313425;3925;219.80;18.0;84161
4313441;2277;75.43;30.2;41032
4313466;1757;80.59;21.8;39751
4313508;40906;663.55;61.7;952654
4313607;4243;182.29;23.3;72835
4313656;10969;950.72;11.6;233807
4313706;34328;1419.43;24.2;955711
4313805;6920;144.05;48.0;125092
4313904;38058;490.86;77.5;1384167
4313953;9895;841.23;11.8;221658
4314001;6812;121.45;56.6;186586
4314027;7336;337.84;21.7;114477
4314035;3511;57.41;61.2;62375
4314050;51502;108.76;474.0;869124
4314068;5154;305.00;16.9;81424
